campaign settings-frontier-1: 32 configs, 3 parts, 3 tiers
tier 0: h_scale=2.5 keep_frac=0.35 survivors=32
  run cfg-02e4c7a5 part=smoke_bar tier=0 ...
  run cfg-02e4c7a5 part=plate_hole tier=0 ...
  run cfg-02e4c7a5 part=cantilever tier=0 ...
  run cfg-0ea8730d part=smoke_bar tier=0 ...
  run cfg-0ea8730d part=plate_hole tier=0 ...
  run cfg-0ea8730d part=cantilever tier=0 ...
  run cfg-1b696ce7 part=smoke_bar tier=0 ...
  run cfg-1b696ce7 part=plate_hole tier=0 ...
  run cfg-1b696ce7 part=cantilever tier=0 ...
  run cfg-1ea46b97 part=smoke_bar tier=0 ...
  run cfg-1ea46b97 part=plate_hole tier=0 ...
  run cfg-1ea46b97 part=cantilever tier=0 ...
  run cfg-37584704 part=smoke_bar tier=0 ...
  run cfg-37584704 part=plate_hole tier=0 ...
  run cfg-37584704 part=cantilever tier=0 ...
  run cfg-37d684d9 part=smoke_bar tier=0 ...
  run cfg-37d684d9 part=plate_hole tier=0 ...
  run cfg-37d684d9 part=cantilever tier=0 ...
  run cfg-3f8ec5a6 part=smoke_bar tier=0 ...
  run cfg-3f8ec5a6 part=plate_hole tier=0 ...
  run cfg-3f8ec5a6 part=cantilever tier=0 ...
  run cfg-4ac2a08b part=smoke_bar tier=0 ...
  run cfg-4ac2a08b part=plate_hole tier=0 ...
  run cfg-4ac2a08b part=cantilever tier=0 ...
  run cfg-50b7a344 part=smoke_bar tier=0 ...
  run cfg-50b7a344 part=plate_hole tier=0 ...
  run cfg-50b7a344 part=cantilever tier=0 ...
  run cfg-57701654 part=smoke_bar tier=0 ...
  run cfg-57701654 part=plate_hole tier=0 ...
  run cfg-57701654 part=cantilever tier=0 ...
  run cfg-62b424e2 part=smoke_bar tier=0 ...
  run cfg-62b424e2 part=plate_hole tier=0 ...
  run cfg-62b424e2 part=cantilever tier=0 ...
  run cfg-704c6798 part=smoke_bar tier=0 ...
